minTp,maxTp,wlevel,wind,weather,date
14.8,28.4,mq,5.4,rain,2024/6/29
16.9,31.9,mq,2.8,rain,2024/6/30
18.6,33.1,mq,7.9,rain,2024/7/1
18.6,29.1,0.6,4.1,rain,2024/7/2
14.9,28.4,0.2,3.5,cloudy,2024/7/3
17.1,29.1,5.5,6.7,rain,2024/7/4
18.1,23.4,0.7,4.6,sun,2024/7/5
16.6,27.9,11.1,6.7,sun,2024/7/6
13.9,30.1,0,0,sun,2024/7/7
14.8,28.9,0,0,sun,2024/7/8
14.3,27.9,0,5.9,sun,2024/7/9
14.3,22.3,0,5.9,sun,2024/7/10
10.9,22.8,0,3.4,sun,2024/7/11
12.4,26.1,0,3.9,sun,2024/7/12
20.6,29.4,0,3.5,sun,2024/7/13
14.8,30.3,0.2,4,sun,2024/7/14
15.1,30.4,mq,3.8,rain,2024/7/15
13.1,30.6,mq,6,rain,2024/7/16
17.4,28.3,-0.1,5.1,sun,2024/7/17
14.1,29.3,0,3.5,sun,2024/7/18
16.3,30.4,0,4,cloudy,2024/7/19
17.4,26.9,9.6,5.1,rain,2024/7/20
16.6,26.4,mq,4.4,rain,2024/7/21
13.3,27.6,0,3.8,sun,2024/7/22
16.6,29.9,0,2.6,sun,2024/7/23
15.6,31.9,mq,3.5,rain,2024/7/24
19.6,33.9,mq,3.1,rain,2024/7/25
18.9,36.4,mq,3,rain,2024/7/26
19.4,36.3,-0.1,9.3,rain,2024/7/27
16.6,28.3,1.8,6.4,rain,2024/7/28
14.9,30.9,mq,2.1,rain,2024/7/29
18.4,29.4,0,3.8,sun,2024/7/30
16.6,29.8,0,4.6,sun,2024/7/31
20.9,29.6,0,3.8,sun,2024/8/1
15.6,33.6,0,5.4,sun,2024/8/2
18.6,35.9,0,5.6,sun,2024/8/3
22.1,34.3,0,4.9,sun,2024/8/4
18.6,32.4,0,5.4,sun,2024/8/5
17.9,35.1,mq,4.4,rain,2024/8/6
18.4,37.6,mq,9.3,rain,2024/8/7
20.1,26.1,10.1,3.5,rain,2024/8/8
14.8,21.8,18.4,6.1,sun,2024/8/9
13.9,22.9,0.2,4.7,sun,2024/8/10
14.9,24.4,0,2.9,sun,2024/8/11
11.1,30.6,0.2,3.3,rain,2024/8/12
18.3,24.6,1.6,5.7,rain,2024/8/13
15.4,25.4,0,4.2,sun,2024/8/14
14.3,25.9,0,3,sun,2024/8/15
12.8,31.4,mq,1.4,rain,2024/8/16
15.4,24.4,0.4,4.9,sun,2024/8/17
12.1,25.6,0,2.5,sun,2024/8/18
13.8,28.1,0,2.4,sun,2024/8/19
16.3,26.4,0,3.8,sun,2024/8/20
17.9,27.8,0,4.5,sun,2024/8/21
15.8,30.4,0,3.9,sun,2024/8/22
17.6,30.9,mq,5.8,rain,2024/8/23
14.4,20.3,0.1,6.2,sun,2024/8/24
11.1,19.6,1.1,4.3,sun,2024/8/25
5.4,22.8,0.2,5.2,rain,2024/8/26
15.9,23.4,-0.3,4.7,sun,2024/8/27
10.3,28.1,0,1.8,drizzle,2024/8/28
16.1,22.9,2.8,8.6,sun,2024/8/29
13.6,20.4,0,1.9,sun,2024/8/30
11.1,20.8,-0.1,2.1,sun,2024/8/31
